username,availability,type,location,work
aa,False,User,,
ab,False,User,"Washington, D.C.",U.S. Digital Service @usds
ac,False,User,,
ad,False,User,"Russia, Saint-Petersburg",
ae,False,User,,
af,False,User,"Victoria, BC",
ag,False,User,"Munich, Germany",@salesforce
ah,False,User,,
ai,False,User,"New York, USA",@evilmartians 
aj,False,User,Bangalore,
ak,False,User,Kiev,
al,False,User,Dublin,
am,False,User,"Barcelona, Spain",@newrelic 
an,False,User,United States,
ao,False,User,127.0.0.1,
ap,False,User,,
aq,False,User,,
ar,False,User,Montevideo/Uruguay,jPOS.org
as,False,User,,
at,False,User,,Evil Martians
au,False,User,,
av,False,User,,
aw,False,User,"海の前, Japan",On-Prem
ax,False,User,"Milan, Italy.",
ay,False,User,California,
az,False,User,"Poznan, Poland",Ecommerce Poland Expo
ba,False,User,Sweden,
bb,False,User,"Leipzig, Germany",Topic Maps Lab
bc,False,User,California,@Kaspect @usc-bbdl
bd,False,User,,
be,False,User,Rio,
bf,False,User,,
bg,False,User,"Halifax, NS, Canada",Dymaxion Research Ltd.
bh,False,User,Berlin,Botanicly GmbH
bi,False,Organization,,
bj,False,User,,
bk,False,User,Iceland,
bl,False,User,"San Francisco, CA",Yelp
bm,False,User,"Atlanta, GA",
bn,False,User,,
bo,False,User,Netherlands,YEONG Development
bp,False,Organization,,
bq,False,Organization,,
br,False,Organization,,
bs,False,User,"San Fransico, CA",
bt,False,User,"Melbourne, Australia",@Secoura
bu,False,User,"Taipei, Taiwan",@hax4 
bv,False,User,"GE, CH",
bw,False,User,TX -> MA -> CA,@ConduitAnalytics @BetterJournalism @cs50
bx,False,User,,
by,False,User,,
bz,False,User,,
ca,False,User,,
cb,False,User,Los Angeles,
cc,False,User,Mountain View,Google
cd,False,User,"Dortmund, Germany",
ce,False,User,USA,Creation Engines
cf,False,User,"Shenzhen, China",Dreamwalk
cg,False,User,Shanghai,
ch,False,User,Ukraine,
ci,False,User,,
cj,False,User,,
ck,False,User,United States,
cl,False,User,,
cm,False,User,"London, United Kingdom",@vaimo
cn,False,Organization,,
co,False,User,"~Stockholm, Sweden",Netlight
cp,False,User,"Portland, OR.",@clearbit
cq,False,User,,
cr,False,User,Berlin,@gesundheitscloud
cs,False,User,"Munich, Germany",BugFactory
ct,False,User,,
cu,False,User,"Ann Arbor, MI",Bityard Industries
cv,False,User,Vancouver,@segmentio
cw,False,User,"Evansville, WI",
cx,False,User,,
cy,False,User,,
cz,False,User,New York,Hudl
da,False,User,,
db,False,User,,
dc,False,User,Vienna,Frequentis
dd,False,User,,
de,False,User,,
df,False,User,San Francisco,
dg,False,User,,Nette Foundation
dh,False,Organization,,
di,False,User,"Austin, TX",@google
dj,False,User,,
dk,False,User,,
dl,False,User,,
dm,False,User,"London & Peterborough, UK",Openlab Ltd
dn,False,User,,
do,False,Organization,,
dp,False,User,,
dq,False,User,,
dr,False,User,"Lexington, KY",
ds,False,User,,
dt,False,User,NYC,Cockroach Labs Inc
du,False,User,,
dv,False,User,Belgium,Crowdway
dw,False,User,,
dx,False,User,Mexico City,Formiik
dy,False,User,Montréal / Saint-Petersburg,@Mobeewave
dz,False,User,"New York, New York",Mailchimp
ea,False,User,,
eb,False,User,,
ec,False,User,"Kiev, Ukraine",@rubykube @helios-technologies 
ed,False,User,,
ee,False,Organization,,
ef,False,User,,
eg,False,User,Earth,
